numero,edad,identidad_genero,tipo_victima,lugar_hecho,modalidad_comisiva,fecha_hecho
953,31,MUJER,PRINCIPAL,Santiago del Estero,ESTRANGULAMIENTO -,2017-07-09
952,26,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO - QUEMADURAS -,2017-07-08
951,7,MUJER,VINCULADO,Ciudad de Buenos Aires,ACUCHILLAMIENTO -,2017-07-06
951,43,MUJER,PRINCIPAL,Ciudad de Buenos Aires,ACUCHILLAMIENTO -,2017-07-06
950,19,MUJER,PRINCIPAL,Buenos Aires,ESTRANGULAMIENTO -,2017-07-05
947,30,MUJER,PRINCIPAL,Córdoba,APUÑALAMIENTO -,2016-10-30
946,27,MUJER,PRINCIPAL,Chubut,ACUCHILLAMIENTO -,2017-07-03
944,32,,PRINCIPAL,Ciudad de Buenos Aires,ACUCHILLAMIENTO -,2017-06-28
943,,MUJER,PRINCIPAL,,AHORCAMIENTO -,2012-01-22
942,23,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA -,2017-07-03
941,,,PRINCIPAL,San Juan,ACUCHILLAMIENTO -,2017-07-02
940,31,MUJER,PRINCIPAL,San Luis,GOLPES -,2017-06-28
937,25,MUJER,PRINCIPAL,Chaco,ASFIXIA -,2017-06-27
936,37,MUJER,PRINCIPAL,Tucuman,ACUCHILLAMIENTO - DISPARO DE BALA -,2017-06-27
935,17,MUJER,PRINCIPAL,Santiago del Estero,DISPARO DE BALA -,2017-06-25
934,19,,PRINCIPAL,Formosa,ABUSO SEXUAL -,2017-06-16
933,,,PRINCIPAL,Buenos Aires,QUEMADURAS -,2017-04-20
932,20,MUJER,PRINCIPAL,Córdoba,DISPARO DE BALA -,2017-06-22
931,15,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA -,2017-06-15
930,27,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO -,2017-06-19
929,46,MUJER,PRINCIPAL,Córdoba,DISPARO DE BALA -,2017-03-15
928,33,MUJER,PRINCIPAL,Neuquen,ACUCHILLAMIENTO -,2017-06-11
927,46,MUJER,PRINCIPAL,Córdoba,DESCUARTIZAMIENTO -,2017-06-17
926,39,MUJER,PRINCIPAL,Salta,ACUCHILLAMIENTO -,2017-06-11
925,18,MUJER,PRINCIPAL,Santa Fe,DISPARO DE BALA -,2017-06-10
924,10,MUJER,VINCULADO,Neuquen,DISPARO DE BALA -,2017-06-08
922,29,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA -,2017-06-12
921,3,HOMBRE,VINCULADO,Salta,ENVENENAMIENTO -,2017-06-05
921,26,MUJER,PRINCIPAL,Salta,ENVENENAMIENTO -,2017-06-05
919,,MUJER,PRINCIPAL,Córdoba,GOLPES - DESCUARTIZAMIENTO -,2017-05-28
918,40,MUJER,PRINCIPAL,Santiago del Estero,APUÑALAMIENTO -,2017-06-01
917,35,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA -,2017-05-28
916,22,MUJER,PRINCIPAL,Salta,ESTRANGULAMIENTO -,2017-05-27
915,36,MUJER,PRINCIPAL,Buenos Aires,GOLPES -,2017-03-23
914,21,,PRINCIPAL,Buenos Aires,DISPARO DE BALA -,2017-05-23
913,,MUJER,PRINCIPAL,,GOLPES -,
912,52,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA -,2017-05-16
911,50,MUJER,PRINCIPAL,Ciudad de Buenos Aires,ACUCHILLAMIENTO -,2015-12-14
910,50,MUJER,PRINCIPAL,Chaco,DEGOLLAMIENTO -,2017-05-14
909,36,MUJER,PRINCIPAL,Catamarca,ACUCHILLAMIENTO -,2017-05-14
908,12,MUJER,PRINCIPAL,San Luis,ESTRANGULAMIENTO - ABUSO SEXUAL -,2017-03-26
907,,MUJER,PRINCIPAL,Buenos Aires,AHORCAMIENTO -,2017-05-07
906,17,MUJER,PRINCIPAL,Córdoba,ATROPELLAMIENTO -,2017-04-26
905,17,MUJER,PRINCIPAL,Tucuman,QUEMADURAS -,2017-05-06
904,50,MUJER,PRINCIPAL,Córdoba,ACUCHILLAMIENTO -,2017-05-09
903,34,MUJER,PRINCIPAL,Mendoza,ESTRANGULAMIENTO -,2016-09-19
902,22,,PRINCIPAL,Jujuy,QUEMADURAS -,2017-05-04
901,18,,PRINCIPAL,Chaco,ACUCHILLAMIENTO -,2017-02-23
900,29,MUJER,PRINCIPAL,Santa Fe,ACUCHILLAMIENTO -,2017-05-05
899,15,,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO -,2017-05-04
898,1,MUJER,PRINCIPAL,Mendoza,ATROPELLAMIENTO -,2017-04-27
897,18,,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO -,2017-02-11
896,15,MUJER,PRINCIPAL,Salta,ACUCHILLAMIENTO -,2017-04-29
895,,MUJER,PRINCIPAL,Santiago del Estero,ACUCHILLAMIENTO -,2017-04-28
894,22,MUJER,PRINCIPAL,Buenos Aires,DESCUARTIZAMIENTO -,2017-04-02
893,21,MUJER,PRINCIPAL,Córdoba,ESTRANGULAMIENTO -,2017-04-22
892,23,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO -,2017-11-01
891,35,MUJER,PRINCIPAL,Santa Fe,GOLPES -,2017-04-19
890,40,MUJER,PRINCIPAL,Mendoza,DESCUARTIZAMIENTO -,2017-04-21
889,52,MUJER,PRINCIPAL,Mendoza,AHORCAMIENTO -,2017-04-23
888,,MUJER,PRINCIPAL,Tucuman,ACUCHILLAMIENTO -,2017-04-23
887,44,MUJER,PRINCIPAL,Corrientes,ACUCHILLAMIENTO - GOLPES -,2015-03-16
886,41,MUJER,PRINCIPAL,Santa Fe,DISPARO DE BALA -,2017-04-17
885,29,MUJER,PRINCIPAL,Santa Fe,ACUCHILLAMIENTO -,2017-04-16
884,,MUJER,PRINCIPAL,Buenos Aires,ABUSO SEXUAL -,2017-04-15
883,3,MUJER,PRINCIPAL,Buenos Aires,GOLPES - ABUSO SEXUAL -,2017-04-11
882,48,MUJER,PRINCIPAL,Buenos Aires,DEGOLLAMIENTO -,2017-04-20
881,49,MUJER,PRINCIPAL,Santa Fe,ACUCHILLAMIENTO -,2017-04-13
880,27,MUJER,PRINCIPAL,Misiones,ACUCHILLAMIENTO -,2017-04-17
877,19,,PRINCIPAL,Corrientes,ABUSO SEXUAL -,2016-01-13
876,,HOMBRE,VINCULADO,Córdoba,ACUCHILLAMIENTO -,2016-05-24
875,56,MUJER,PRINCIPAL,Buenos Aires,DESCUARTIZAMIENTO -,2017-04-09
874,43,MUJER,PRINCIPAL,Santiago del Estero,ACUCHILLAMIENTO -,2017-04-14
873,16,,PRINCIPAL,Tucuman,ABUSO SEXUAL -,2017-04-14
872,10,MUJER,PRINCIPAL,Corrientes,ABUSO SEXUAL -,2017-04-04
871,,HOMBRE,VINCULADO,Rio Negro,ACUCHILLAMIENTO -,2015-11-07
870,43,,PRINCIPAL,Santa Fe,GOLPES -,2017-04-09
869,,,VINCULADO,Rio Negro,ACUCHILLAMIENTO -,2016-10-29
868,19,MUJER,PRINCIPAL,Córdoba,Sin datos,2017-04-08
867,30,MUJER,PRINCIPAL,Buenos Aires,GOLPES -,2017-03-22
866,21,MUJER,PRINCIPAL,Entre Rios,ESTRANGULAMIENTO -,2017-04-01
865,,MUJER,PRINCIPAL,Santiago del Estero,GOLPES -,2014-06-01
864,16,MUJER,PRINCIPAL,Misiones,ESTRANGULAMIENTO -,2017-04-02
863,,,PRINCIPAL,Buenos Aires,GOLPES -,2014-08-27
862,22,,PRINCIPAL,Salta,Sin datos,2017-03-01
861,,MUJER,PRINCIPAL,Buenos Aires,Sin datos,2017-03-31
860,43,MUJER,PRINCIPAL,Buenos Aires,GOLPES -,2017-03-30
859,42,MUJER,PRINCIPAL,La Rioja,APUÑALAMIENTO -,2017-03-30
858,,MUJER,PRINCIPAL,Buenos Aires,DESBARRANCAMIENTO -,2017-03-27
857,31,MUJER,PRINCIPAL,Jujuy,ESTRANGULAMIENTO -,2017-03-22
856,,MUJER,PRINCIPAL,La Pampa,DEGOLLAMIENTO -,2016-11-22
855,12,,PRINCIPAL,San Luis,ESTRANGULAMIENTO -,2017-03-22
854,36,MUJER,PRINCIPAL,Buenos Aires,ESTRANGULAMIENTO -,2017-03-21
853,16,MUJER,PRINCIPAL,San Luis,Sin datos,2017-03-19
852,50,MUJER,PRINCIPAL,Jujuy,Sin datos,2017-03-21
851,28,MUJER,PRINCIPAL,Córdoba,ACUCHILLAMIENTO -,2016-11-30
850,17,MUJER,PRINCIPAL,Salta,,2017-03-18
849,22,MUJER,PRINCIPAL,Buenos Aires,,2017-03-20
848,26,MUJER,PRINCIPAL,,,
847,19,MUJER,PRINCIPAL,Buenos Aires,,2016-08-21
846,48,MUJER,PRINCIPAL,Córdoba,,2017-03-13
845,53,MUJER,PRINCIPAL,Córdoba,,2017-03-10
844,43,MUJER,PRINCIPAL,Neuquen,,2017-03-12
843,36,MUJER,PRINCIPAL,Córdoba,,2017-03-05
842,54,MUJER,PRINCIPAL,Salta,,2017-02-24
841,35,,PRINCIPAL,Entre Rios,,2017-02-28
840,67,MUJER,PRINCIPAL,Santa Fe,,2017-02-27
839,22,MUJER,PRINCIPAL,Buenos Aires,,2017-02-24
838,20,MUJER,PRINCIPAL,Buenos Aires,,2017-02-21
837,3,,VINCULADO,Santiago del Estero,,2017-02-20
837,9,MUJER,VINCULADO,Santiago del Estero,,2017-02-20
837,11,MUJER,VINCULADO,Santiago del Estero,,2017-02-20
837,12,HOMBRE,VINCULADO,Santiago del Estero,,2017-02-20
837,33,MUJER,PRINCIPAL,Santiago del Estero,,2017-02-20
836,20,MUJER,PRINCIPAL,Jujuy,,2017-02-17
835,8,MUJER,VINCULADO,Jujuy,,2017-02-15
835,30,MUJER,PRINCIPAL,Jujuy,,2017-02-15
834,31,MUJER,PRINCIPAL,Mendoza,,2017-02-15
833,27,MUJER,PRINCIPAL,Buenos Aires,,2017-02-17
831,42,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO - GOLPES -,2017-02-11
830,16,MUJER,VINCULADO,Buenos Aires,DISPARO DE BALA -,2017-02-12
830,17,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA -,2017-02-12
829,42,MUJER,PRINCIPAL,Buenos Aires,GOLPES -,2017-02-12
828,40,MUJER,PRINCIPAL,Corrientes,QUEMADURAS -,2017-02-01
827,26,MUJER,PRINCIPAL,Buenos Aires,GOLPES -,2016-03-21
826,15,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO -,2017-02-03
826,50,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO -,2017-02-03
825,55,MUJER,VINCULADO,Buenos Aires,DISPARO DE BALA -,2017-02-05
825,34,HOMBRE,VINCULADO,Buenos Aires,DISPARO DE BALA -,2017-02-05
825,Se desconoce,HOMBRE,VINCULADO,Buenos Aires,DISPARO DE BALA -,2017-02-05
825,Se desconoce,MUJER,VINCULADO,Buenos Aires,DISPARO DE BALA -,2017-02-05
825,Se desconoce,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA -,2017-02-05
824,32,MUJER,PRINCIPAL,Santa Fe,GOLPES -,2017-02-06
823,44,MUJER,PRINCIPAL,Salta,ACUCHILLAMIENTO -,2017-01-27
822,28,MUJER,PRINCIPAL,Tucuman,APUÑALAMIENTO -,2017-02-04
821,26,MUJER,PRINCIPAL,Salta,ACUCHILLAMIENTO -,2017-02-01
820,28,MUJER,PRINCIPAL,Chubut,GOLPES -,2017-01-27
819,53,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO -,2017-01-25
818,28,MUJER,PRINCIPAL,Salta,QUEMADURAS -,2017-01-22
813,25,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO -,2017-01-20
812,39,MUJER,PRINCIPAL,Buenos Aires,Sin datos,2017-01-21
811,25,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA -,2017-01-16
810,23,MUJER,PRINCIPAL,Chaco,ACUCHILLAMIENTO -,2014-02-20
809,39,MUJER,PRINCIPAL,Mendoza,ESTRANGULAMIENTO -,2016-08-29
808,34,MUJER,PRINCIPAL,Córdoba,ACUCHILLAMIENTO -,2017-01-15
806,18,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA -,2017-01-12
805,23,Mujer,Principal,Buenos Aires,Disparo de bala,2017-01-09
804,35,Mujer,Principal,Buenos Aires,Abuso sexual - Golpes - Asfixia,2016-12-24
803,35,Mujer,Principal,Entre Ríos, Estrangulamiento,2017-01-06
802,42,Mujer,Principal,Buenos Aires,Golpes,2017-01-04
801,18,Mujer,Principal,Salta,Acuchillamiento - Golpes,2017-01-05
800,Nacido muerto,Hombre,Vinculado,Santiago del Estero,Golpes,2016-12-30
799,15,Mujer,Principal,Buenos Aires,Disparo de bala,2016-12-29
798,22,Mujer,Principal,CABA,Disparo de bala,2016-12-29
796,Confusa,Mujer,Principal,Buenos Aires,Acuchillamiento - Degollamiento,2016-12-27
795,22,Travesti,Principal,Buenos Aires,Golpes,2016-12-22
793,13,Mujer,Principal,Buenos Aires,Golpes - Asfixia,2013-02-12
792,70,Hombre,Vinculado,Entre Ríos,Acuchillamiento,2016-12-25
791,29,Mujer,Principal,Santiago del Estero,Acuchillamiento - Golpes ,2016-12-24
790,15,Mujer,Vinculado,Santa Fé,Apuñalamiento,2016-12-25
790,44,Mujer,Vinculado,Santa Fé,Apuñalamiento,2016-12-25
790,32,Hombre,Vinculado,Santa Fé,Apuñalamiento,2016-12-25
790,45,Hombre,Vinculado,Santa Fé,Apuñalamiento,2016-12-25
789,30,Mujer,Principal,Mendoza,Se desconoce,2016-12-10
788,37,Mujer,Principal,Tucumán,Estrangulamiento,2016-12-21
787,49,Mujer,Principal,Corrientes,Quemaduras,2016-10-09
786,16,Mujer,Principal,Chaco,Se desconoce,2016-12-18
785,29,Mujer,Principal,Buenos Aires,Golpes - Degollamiento,2015-11-06
784,47,Mujer,Principal,Misiones,Golpes - Abuso sexual - Empalamiento,2016-12-18
783,36,Hombre,Vinculado,Neuquén,Disparo de bala,2016-11-27
782,40,Mujer,Principal,Córdoba,Se desconoce,2014-01-24
781,33,Mujer,Principal,Buenos Aires,Golpes - Apuñalamiento,2016-12-12
780,36,Hombre,Vinculado,Buenos Aires,Disparo de bala,2016-12-14
779,49,Mujer,Principal,Buenos Aires,Acuchillamiento,2016-12-02
779,30,Mujer,Vinculado,Buenos Aires,Acuchillamiento,2016-12-02
778,40,Mujer,Principal,Chubut,Degollamiento,2016-12-08
777,24,Mujer,Principal,Córdoba,Estrangulamiento - Abuso sexual,2016-11-28
776,31,Mujer,Principal,Buenos Aires,Acuchillamiento,2016-12-02
775,32,Mujer,Principal,Jujuy,Acuchillamiento,2016-12-05
774,18,Mujer,Principal,Buenos Aires,Acuchillamiento,2016-12-06
773,15,Mujer,Principal,Salta,Ahorcamiento,2016-12-05
770,28,Mujer,Principal,Córdoba,Apuñalamiento,2016-11-30
767,35,Mujer,Principal,Santa Fe,OTROS -,2016-11-12
766,38,Mujer,Principal,Santa Fe,Acuchillamiento,2016-11-17
765,26,Mujer,Principal,CABA,OTROS - DEGOLLAMIENTO -,2016-11-13
764,34,Mujer,Principal,Mendoza,DISPARO DE BALA -,2016-11-11
763,39,Mujer,Principal,Entre Rios,Degollamiento,2016-11-14
762,34,Mujer,Principal,Buenos Aires,DISPARO DE BALA -,2016-11-14
761,35,Mujer,Principal,Entre Rios,OTROS -,2016-11-09
760,23,HOMBRE,Vinculado,Entre Rios,Acuchillamiento,2016-11-07
760,7,Mujer,Principal,Entre Rios,Acuchillamiento,2016-11-07
760,5,Mujer,Vinculado,Entre Rios,Acuchillamiento,2016-11-07
760,,Mujer,Principal,Entre Rios,Acuchillamiento,2016-11-07
759,45,Mujer,Principal,Entre Rios,DISPARO DE BALA -,2016-11-05
759,37,Mujer,Principal,Entre Rios,DISPARO DE BALA -,2016-11-05
758,16,Mujer,Principal,CABA,Acuchillamiento,2016-10-11
758,18,Mujer,Principal,CABA,Acuchillamiento,2016-10-11
757,39,Mujer,Principal,CABA,Acuchillamiento,2016-10-29
756,22,Mujer,Principal,Tucuman,QUEMADURAS -,2016-10-19
755,26,TRAVESTI,Principal,Misiones,GOLPES -,2016-10-27
754,53,Mujer,Principal ,Buenos Aires ,Disparo de bala,2016-10-24
753,43,Mujer,Principal ,Córdoba,Acuchillamiento,2016-10-23
752,90,Mujer,Vinculado,Mendoza,Acuchillamiento,2016-10-23
752,65,Mujer,Vinculado,Mendoza,Acuchillamiento,2016-10-23
752,31,Mujer,Principal ,Mendoza,Acuchillamiento,2016-10-23
751,41,Mujer,Principal ,Mendoza,Acuchillamiento,2016-10-19
750,65,Mujer,Principal ,Mendoza,Asfixia,2016-09-09
749,34,Mujer,Principal ,Córdoba,Disparo de bala,2016-10-14
748,42,Mujer,Principal ,Tucumán,Apuñalamiento,2016-10-18
747,11 meses,Mujer,Principal ,Buenos Aires ,Abuso sexual,2016-10-17
746,35,Mujer,Principal ,Jujuy,Quemaduras,2016-10-17
745,63,Mujer,Principal ,Buenos Aires ,Acuchillamiento,2016-10-15
744,54,Mujer,Principal ,Buenos Aires ,Acuchillamiento,2016-10-11
743,41,Mujer,Principal ,Córdoba,Acuchillamiento,2016-10-12
742,22,Mujer,Principal ,Córdoba,Se desconoce,2016-10-14
741,38,Mujer,Principal ,Buenos Aires ,Degollamiento,2016-10-16
740,28,Mujer,Principal ,Santiago del Estero,Acuchillamiento,2016-10-14
739,15,Mujer,Principal ,Mendoza,Asfixia,2016-10-15
738,55,Mujer,Principal ,Buenos Aires ,Acuchillamiento - Golpes,2016-10-13
737,2,Mujer,Vinculado,Buenos Aires,Golpes,2013-08-17
736,16,Mujer,Principal ,Buenos Aires ,Empalamiento  - Otros,2016-10-09
735,22,Mujer,Principal ,Buenos Aires ,Estrangulamiento,2016-10-09
734,24,Mujer,Principal ,Mendoza,Se desconoce,2015-07-19
733,18,Mujer,Principal ,Buenos Aires ,Acuchillamiento - Degollamiento,2016-09-21
732,30,Mujer,Principal ,Jujuy,Disparo de bala,2016-10-01
731,30,Mujer,Principal ,Santa Cruz,Quemaduras - Degollamiento - Apuñalamiento,2016-10-05
730,26,Mujer,Principal ,Buenos Aires ,Disparo de bala,2016-10-03
729,19,Mujer,Principal ,CABA,Apuñalamiento,2016-09-28
728,19,Mujer,Principal ,Mendoza,Degollamiento,2016-09-28
727,21,Mujer,Principal ,Mendoza,Golpes,2016-09-27
726,29,Mujer,Principal ,Mendoza,Disparo de bala,2016-09-23
725,26,Hombre,Vinculado,Chubut,Disparo de bala,2016-09-13
725,54,Mujer,Vinculado,Chubut,Disparo de bala,2016-09-13
725,14,Mujer,Vinculado,Chubut,Disparo de bala,2016-06-13
724,44,Mujer,Principal ,Santiago del Estero,Disparo de bala,2016-09-21
723,18,Mujer,Principal ,Tucumán,Se desconoce,2016-09-18
722,39,Mujer,Vinculado,Buenos Aires ,Disparo de bala,2016-09-20
722,25,Hombre,Vinculado,Buenos Aires ,Disparo de bala,2016-09-20
720,21,Mujer,Principal ,Jujuy,Ahorcamiento,2015-02-01
719,16,Mujer,Principal ,Buenos Aires ,Disparo de bala,2016-09-16
718,26,Mujer,Principal ,Mendoza,Ahorcamiento,2016-09-13
717,24,Mujer,Principal ,Santa Fe,Disparo de bala,2016-09-12
716,33,Travesti,Principal ,Mendoza,Acuchillamiento,2015-03-01
715,53,Travesti,Principal ,Buenos Aires ,Acuchillamiento,2016-06-23
714,29,Travesti,Principal ,Formosa,Quemaduras - Apuñalamiento,2016-04-01
713,32,Trans Femenina ,Principal ,Tierra del Fuego,Acuchillamiento,2013-05-12
712,27,Mujer,Principal ,Salta,Acuchillamiento,2016-09-13
711,36,Travesti,Principal ,Jujuy,Acuchillamiento,2016-09-10
710,19,Mujer,Principal ,Buenos Aires ,Disparo de bala,2016-09-09
709,50,Mujer,Principal ,Buenos Aires ,Se desconoce,2016-08-26
708,39,Mujer,Principal ,Buenos Aires ,Disparo de bala,2016-08-21
707,21,Mujer,Principal ,Chubut,Acuchillamiento - Golpes,2016-08-28
706,17,Mujer,Principal ,Santa Fe,Se desconoce,2016-08-16
705,37,Mujer,Principal ,Corrientes,Acuchillamiento - Disparo de Bala,2016-08-19
704,36,Mujer,Principal ,Buenos Aires ,Golpes - Ahorcamiento,2016-08-09
703,42,Mujer,Principal ,Buenos Aires ,Disparo de bala,2016-07-20
702,45 días,Mujer,Vinculado,Córdoba,Golpes,2016-08-06
701,43,Mujer,Principal ,Buenos Aires ,Disparo de bala,2016-08-13
700,63,Mujer,Principal ,Buenos Aires ,Golpes - Quemaduras,2016-08-14
699,21,Mujer,Principal ,Chaco,Otros,2016-08-14
698,23,Mujer,Principal ,Buenos Aires ,Disparo de bala,2016-08-14
696,18,Mujer,Principal ,Tucumán,Ahorcamiento,2016-08-07
694,53,Mujer,Principal ,Buenos Aires ,Disparo de bala,2016-08-08
693,20,Mujer,Principal ,Salta,Golpes,2014-03-06
692,18,Mujer,Principal ,CABA,Asfixia - Estrangulamiento,2016-07-29
691,17,Mujer,Principal ,Santa Fe,Disparo de bala,2016-07-31
690,25,Mujer,Principal ,Santa Fe,Golpes - Ahorcamiento,2016-07-28
689,31,Mujer,Principal ,Córdoba,Disparo de bala,2016-07-25
688,49,Hombre,Vinculado,Córdoba,Disparo de bala,2014-09-04
687,43,Mujer,Principal ,Neuquén,Acuchillamiento,2016-07-06
686,20,Mujer,Principal ,Jujuy,Ahorcamiento,2016-07-23
685,29,Mujer,Principal ,Jujuy,Golpes,2016-07-14
684,37,Mujer,Principal ,Santa Fe,Acuchillamiento,2016-07-23
683,40,Mujer,Principal ,Buenos Aires ,Suicidio inducido,2016-07-19
682,23,Mujer,Principal ,Entre Ríos,Golpes - Estrangulamiento,2013-02-12
681,Se desconoce,Mujer,Principal ,Buenos Aires ,Quemaduras,2016-07-12
680,27,Mujer,Principal ,Buenos Aires ,Disparo de bala,2016-07-12
679,29,Mujer,Principal ,Buenos Aires ,Disparo de bala,2016-07-06
678,20,Mujer,Principal ,Misiones,Asfixia,2016-06-13
677,53,Mujer,Principal ,Misiones,Estrangulamiento,2016-07-11
676,17,Mujer,Principal ,Córdoba,Disparo de bala,2016-07-10
675,50,Mujer,Principal ,Córdoba,Disparo de bala,2016-07-07
674,38,Mujer,Principal ,Buenos Aires ,Apuñalamiento,2016-07-06
673,42,Mujer,Principal ,Santa Fé,Degollamiento,2016-06-23
672,24,Hombre,Vinculado,Buenos Aires ,Acuchillamiento,2016-07-07
672,19,Mujer,Vinculado,Buenos Aires ,Acuchillamiento,2016-07-07
672,52,Mujer,Principal ,Buenos Aires ,Acuchillamiento,2016-07-07
672,22,Mujer,Vinculado,Buenos Aires ,Acuchillamiento,2016-07-07
672,70,Hombre,Vinculado,Buenos Aires ,Acuchillamiento,2016-07-07
671,35,Mujer,Principal ,Buenos Aires ,Disparo de bala,2016-07-05
670,26,Mujer,Principal ,Buenos Aires,Otros,2015-12-31
669,21,Mujer,Principal ,Salta,Acuchillamiento,2016-07-04
668,26,Mujer,Principal ,Formosa,Golpes,2016-06-26
667,25,Mujer,Principal ,Tierra del Fuego,Se desconoce,2016-07-03
666,17,Mujer,Principal ,San Juan,Estrangulamiento,2016-06-16
665,26,Mujer,Principal ,Córdoba,Estrangulamiento,2016-06-22
664,58,Mujer,Principal ,Santa Fé,Disparo de bala,2016-06-22
663,56,Mujer,Principal ,Chaco,Quemaduras,2016-06-20
662,36,Mujer,Principal ,Santiago del Estero,Ahorcamiento,2016-06-16
661,24,Mujer,Principal ,Buenos Aires ,Disparo de bala,2016-06-08
660,41,Mujer,Principal ,Buenos Aires ,Degollamiento,2016-06-07
659,25,Mujer,Principal ,Salta,Disparo de bala,2016-04-02
658,16,Mujer,Principal ,Salta,Golpes - Otros,2016-03-18
657,8,Mujer,Principal ,Mendoza,Quemaduras - Otros,2016-04-12
656,71,Mujer,Principal ,Mendoza,Golpes,2016-01-12
655,35,Travesti,Principal ,Mendoza,Golpes  - Otros,2016-06-05
654,12,Mujer,Principal ,Tucumán,Estrangulamiento - Otros,2016-05-28
653,12,Mujer,Principal ,Buenos Aires ,Golpes - Estrangulamiento - Otros,2016-04-23
652,12,Mujer,Principal ,Santa Fé,Estrangulamiento - Otros,2016-05-25
